# GeneMark.hmm-2 LST format
# GeneMark.hmm-2 prokaryotic version: 1.06
# File with sequence: tmpseq.fna
# File with native parameters: itr_1.mod
# File with MetaGeneMark parameters: /home/karl/repos/repos-gms2/bin/mgm_11.mod
#
# translation table: 11
# output date start: Sun Oct 28 17:19:54 2018

# sequence-region 1 4411532
SequenceID: anydef
     1   +   <1    1524    1524 nativebacarc native
  2148   +    2341808    2342944    1137 nativebac  0 3 native
  2149   +    2344411    2346180    1770 nativebacarc  0 3 native
  2150   -    2346197    2347324    1128 nativebacarc  0 3 native
  2151   +    2347598    2348554     957 nativebacarc  0 3 native
  2152   -    2348558    2349292     735 nativebacarc  0 3 native
  2153   -    2349334    2352054    2721 nativebacarc  0 3 native
  2154   -    2352103    2352957     855 nativebacarc  0 3 native
  2155   -    2353046    2353393     348 nativebac  0 3 native
  2156   -    2353365    2354315     951 nativebacarc  0 3 native
  2157   -    2354312    2355310     999 nativebacarc  0 3 native
  2158   -    2355319    2356662    1344 nativebacarc  0 3 native
  2159   -    2356729    2357901    1173 nativebac  0 3 native
  2160   +    2358455    2360041    1587 nativebacarc  0 3 native
  2161   +    2360240    2363281    3042 nativebacarc  0 3 native
  2162   +    2363274    2364107     834 nativebacarc  0 3 native
  2163   -    2364086    2364520     435 nativebacarc  0 3 native
  2164   -    2364527    2364781     255 nativebac  0 3 native
  2165   -    2364797    2365054     258 native  0 3 native
  2166   +    2365465    2365791     327 nativebac  0 3 native
  2167   +    2365842    2366726     885 nativebacarc  0 3 native
  2168   +    2367359    2367655     297 nativebac  0 3 atypical
  2169   +    2367711    2368442     732 nativebacarc  0 3 native
  2170   -    2368983    2369729     747 nativebacarc  0 3 native
  2171   -    2369726    2370601     876 nativebacarc  0 3 native
  2172   -    2370598    2370813     216 nativebacarc  0 3 native
  2173   -    2370905    2372542    1638 nativebacarc  0 3 native
  2174   +    2372630    2373823    1194 nativebacarc  0 3 native
  2175   +    2373816    2374457     642 nativebacarc  0 3 native
  2176   -    2374461    2376290    1830 nativebacarc  0 3 native
  2177   +    2376571    2377140     570 nativebacarc  0 3 native
  2178   +    2377148    2377441     294 nativebacarc  0 3 native
  2179   -    2377470    2378312     843 nativebacarc  0 3 native
  2180   +    2378386    2379222     837 nativebacarc  0 3 native
  2181   -    2379245    2379727     483 nativebacarc  0 3 native
  2182   -    2379806    2380660     855 nativebacarc  0 3 native
  2183   -    2380663    2380944     282 nativebacarc  0 3 native
  2184   +    2381083    2382492    1410 nativebacarc  0 3 native
  2185   -    2382489    2386067    3579 nativebacarc  0 3 native
  2186   +    2386293    2387171     879 nativebacarc  0 3 native
  2187   -    2387202    2387972     771 nativebac  0 3 native
  2188   -    2387969    2388235     267 nativebac  0 3 native
  2189   +    2388616    2390085    1470 nativebacarc  0 3 native
  2190   +    2390148    2390288     141 nativebac  0 3 native
  2191   -    2390308    2391189     882 nativebacarc  0 3 native
  2192   -    2391215    2392459    1245 nativebacarc  0 3 native
  2193   -    2392517    2393317     801 nativebacarc  0 3 native
  2194   +    2393411    2393641     231 nativebacarc  0 3 native
  2195   -    2393638    2393796     159 nativebac  0 3 atypical
  2196   -    2393851    2394666     816 nativebacarc  0 3 native
  2197   -    2394650    2395237     588 nativebacarc  0 3 native
  2198   -    2395301    2396011     711 nativebacarc  0 3 native
  2199   -    2396008    2396856     849 nativebacarc  0 3 native
  2200   -    2396902    2397210     309 nativebacarc  0 3 atypical
  2201   +    2397510    2398406     897 nativebacarc  0 3 native
  2202   +    2398403    2398684     282 native  0 3 native
  2203   +    2398675    2399793    1119 nativebacarc  0 3 native
  2204   -    2399798    2400328     531 nativebacarc  0 3 native
  2205   -    2400376    2401728    1353 nativebacarc  0 3 native
  2206   -    2402193    2402510     318 nativebacarc  0 3 atypical
  2207   -    2402507    2402722     216 nativebacarc  0 3 atypical
  2208   +    2403421    2404035     615 nativebacarc  0 3 native
  2209   -    2404165    2404521     357 nativebacarc  0 3 native
  2210   -    2404616    2405398     783 nativebacarc  0 3 native
  2211   -    2405666    2405953     288 nativebacarc  0 3 native
  2212   -    2406118    2406774     657 nativebacarc  0 3 native
  2213   -    2406840    2407388     549 nativebac  0 3 native
  2214   -    2407622    2408329     708 nativebacarc  0 3 native
  2215   -    2408385    2409524    1140 nativebacarc  0 3 native
  2216   -    2409697    2410641     945 nativebacarc  0 3 native
  2217   -    2410638    2412122    1485 nativebacarc  0 3 native
  2218   -    2412119    2413246    1128 nativebacarc  0 3 native
  2219   -    2413348    2414763    1416 nativebacarc  0 3 native
  2220   -    2414934    2416394    1461 nativebacarc  0 3 native
  2221   -    2416396    2417475    1080 nativebacarc  0 3 native
  2222   -    2417472    2419004    1533 nativebacarc  0 3 native
  2223   -    2419001    2420566    1566 nativebacarc  0 3 native
  2224   -    2420631    2421665    1035 nativebacarc  0 3 native
  2225   -    2421662    2422003     342 nativebacarc  0 3 native
  2226   -    2422271    2423137     867 nativebacarc  0 3 native
  2227   -    2423240    2424838    1599 nativebacarc  0 3 native
  2228   -    2425048    2426865    1818 nativebacarc  0 3 native
  2229   -    2427084    2428046     963 nativebac  0 3 native
  2230   -    2428235    2429269    1035 nativebacarc  0 3 native
  2231   -    2429427    2429858     432 nativebacarc  0 3 native
  2232   -    2430159    2431043     885 nativebacarc  0 3 native
  2233   -    2431094    2431420     327 nativebac  0 3 native
  2234   -    2431565    2431969     405 nativebac  0 3 native
  2235   +    2432235    2432855     621 nativebacarc  0 3 native
  2236   +    2432975    2433634     660 nativebacarc  0 3 native
  2237   -    2433631    2434536     906 nativebacarc  0 3 native
  2238   +    2434847    2435905    1059 nativebacarc  0 3 native
  2239   +    2435942    2437459    1518 nativebacarc  0 3 native
  2240   -    2437446    2437850     405 nativebacarc  0 3 native
  2241   +    2437941    2439140    1200 nativebacarc  0 3 native
  2242   -    2439282    2439947     666 nativebacarc  0 3 native
  2243   -    2440332    2441720    1389 nativebacarc  0 3 native
  2244   -    2441811    2442317     507 nativebacarc  0 3 native
  2245   -    2442327    2443265     939 nativebacarc  0 3 native
  2246   +    2443302    2444585    1284 nativebacarc  0 3 native
  2247   -    2444586    2445329     744 nativebacarc  0 3 native
  2248   -    2445415    2445819     405 nativebacarc  0 3 native
  2249   -    2445807    2446949    1143 nativebacarc  0 3 native
  2250   -    2447066    2447500     435 nativebacarc  0 3 atypical
  2251   -    2447605    2447994     390 nativebacarc  0 3 native
  2252   +    2448160    2449962    1803 nativebacarc  0 3 native
  2253   -    2449993    2451150    1158 nativebacarc  0 3 native
  2254   -    2451247    2452080     834 nativebacarc  0 3 native
  2255   -    2452115    2453233    1119 nativebacarc  0 3 native
  2256   -    2453458    2453598     141 native  0 3 native
  2257   +    2453843    2455756    1914 nativebacarc  0 3 native
  2258   -    2455631    2456644    1014 nativebacarc  0 3 native
  2259   +    2456946    2457512     567 nativebacarc  0 3 native
  2260   +    2457637    2458395     759 nativebacarc  0 3 native
  2261   +    2458392    2459681    1290 nativebacarc  0 3 native
  2262   +    2459678    2461327    1650 nativebacarc  0 3 native
  2263   -    2461504    2462148     645 nativebacarc  0 3 native
  2264   -    2462148    2463047     900 nativebacarc  0 3 native
  2265   -    2463233    2463652     420 nativebacarc  0 3 native
  2266   -    2463660    2464646     987 nativebacarc  0 3 native
  2267   +    2464997    2466955    1959 nativebacarc  0 3 native
  2268   -    2467053    2467985     933 nativebacarc  0 3 native
  2269   +    2468231    2468923     693 nativebacarc  0 3 native
  2270   -    2468931    2469287     357 nativebacarc  0 3 native
  2271   -    2469387    2470532    1146 nativebacarc  0 3 native
  2272   +    2470838    2471332     495 nativebacarc  0 3 native
  2273   +    2471411    2472496    1086 nativebacarc  0 3 native
  2274   +    2472580    2473242     663 nativebacarc  0 3 native
  2275   +    2473427    2474938    1512 nativebacarc  0 3 native
  2276   -    2474864    2475970    1107 nativebacarc  0 3 native
  2277   -    2476042    2477145    1104 nativebacarc  0 3 native
  2278   +    2477190    2478326    1137 nativebacarc  0 3 native
  2279   +    2478338    2479885    1548 nativebacarc  0 3 native
  2280   -    2479923    2481683    1761 nativebacarc  0 3 native
  2281   +    2481965    2483626    1662 nativebacarc  0 3 native
  2282   +    2483626    2484531     906 nativebacarc  0 3 native
  2283   +    2484584    2485276     693 nativebacarc  0 3 native
  2284   +    2485273    2486208     936 nativebacarc  0 3 native
  2285   +    2486235    2486987     753 nativebacarc  0 3 native
  2286   -    2486994    2487416     423 nativebacarc  0 3 native
  2287   +    2487615    2489051    1437 nativebacarc  0 3 native
  2288   -    2489369    2492347    2979 nativebacarc  0 3 native
  2289   -    2492402    2493742    1341 nativebacarc  0 3 native
  2290   -    2493837    2495399    1563 nativebacarc  0 3 native
  2291   -    2495461    2497017    1557 nativebacarc  0 3 native
  2292   -    2497225    2497416     192 native  0 3 native
  2293   +    2497742    2498587     846 nativebacarc  0 3 native
  2294   +    2498832    2500373    1542 nativebacarc  0 3 native
  2295   +    2500923    2501150     228 nativebacarc  0 3 native
  2296   +    2501147    2501632     486 nativebac  0 3 native
  2297   -    2501644    2502738    1095 nativebacarc  0 3 native
  2298   -    2502735    2503472     738 nativebacarc  0 3 native
  2299   -    2503469    2504608    1140 nativebacarc  0 3 native
  2300   -    2504605    2505651    1047 nativebacarc  0 3 native
  2301   -    2505714    2505869     156 nativebac  0 3 native
  2302   -    2506207    2506383     177 bac  0 3 atypical
  2303   +    2506428    2507153     726 nativebacarc  0 3 native
  2304   +    2507203    2507637     435 nativebacarc  0 3 native
  2305   +    2507637    2508452     816 nativebacarc  0 3 native
  2306   -    2508434    2509375     942 nativebacarc  0 3 native
  2307   +    2509441    2510256     816 nativebacarc  0 3 native
  2308   -    2510351    2510476     126 nativebac  0 3 native
  2309   -    2510715    2511176     462 nativebacarc  0 3 native
  2310   -    2511176    2511652     477 nativebacarc  0 3 native
  2311   -    2511690    2512259     570 nativebacarc  0 3 native
  2312   +    2512452    2515244    2793 nativebacarc  0 3 native
  2313   +    2515304    2516548    1245 nativebacarc  0 3 native
  2314   +    2516787    2517695     909 nativebacarc  0 3 native
  2315   +    2517771    2518118     348 nativebacarc  0 3 native
  2316   +    2518115    2519365    1251 nativebacarc  0 3 native
  2317   +    2519459    2520712    1254 nativebacarc  0 3 native
  2318   +    2520743    2522164    1422 nativebacarc  0 3 native
  2319   +    2522288    2523175     888 nativebacarc  0 3 native
  2320   -    2523241    2524785    1545 nativebacarc  0 3 native
  2321   -    2524785    2525345     561 nativebacarc  0 3 native
  2322   +    2525402    2525821     420 nativebac  0 3 native
  2323   +    2525748    2526992    1245 nativebacarc  0 3 native
  2324   +    2526989    2527918     930 nativebacarc  0 3 native
  2325   +    2527984    2528487     504 nativebac  0 3 native
  2326   -    2528520    2528930     411 nativebacarc  0 3 native
  2327   -    2528980    2529174     195 bac  0 3 atypical
  2328   -    2529341    2529853     513 nativebacarc  0 3 native
  2329   -    2530004    2530822     819 nativebacarc  0 3 native
  2330   -    2530836    2531897    1062 nativebacarc  0 3 native
  2331   +    2532245    2533330    1086 nativebacarc  0 3 native
  2332   +    2533330    2533965     636 nativebacarc  0 3 native
  2333   -    2534042    2534485     444 nativebac  0 3 native
  2334   -    2534470    2535642    1173 nativebac  0 3 native
  2335   +    2535641    2536594     954 nativebacarc  0 3 native
  2336   -    2536572    2538320    1749 nativebacarc  0 3 native
  2337   -    2538550    2538645      96 native  0 3 native
  2338   +    2538700    2539929    1230 nativebacarc  0 3 native
  2339   +    2540104    2541390    1287 nativebacarc  0 3 native
  2340   -    2541644    2542810    1167 nativebacarc  0 3 native
  2341   -    2542807    2543988    1182 nativebacarc  0 3 native
  2342   +    2544719    2545225     507 nativebac  0 3 native
  2343   +    2545332    2545631     300 nativebac  0 3 native
  2344   +    2545737    2546105     369 nativebacarc  0 3 native
  2345   +    2546102    2546431     330 nativebac  0 3 native
  2346   +    2546883    2547752     870 nativebac  0 3 native
  2347   +    2547749    2548939    1191 nativebacarc  0 3 native
  2348   -    2549124    2550029     906 nativebacarc  0 3 native
  2349   +    2550065    2550391     327 nativebac  0 3 native
  2350   +    2550442    2551326     885 nativebacarc  0 3 native
  2351   +    2551560    2552939    1380 nativebacarc  0 3 native
  2352   +    2553173    2554831    1659 nativebacarc  0 3 native
  2353   -    2554938    2555858     921 nativebacarc  0 3 native
  2354   -    2555925    2556146     222 native  0 3 native
  2355   +    2556145    2557440    1296 nativebacarc  0 3 native
  2356   +    2557473    2558810    1338 nativebacarc  0 3 native
  2357   -    2558877    2559569     693 nativebacarc  0 3 native
  2358   +    2559703    2561331    1629 nativebacarc  0 3 native
  2359   +    2561711    2562457     747 nativebacarc  0 3 atypical
  2360   +    2562881    2563114     234 native  0 3 native
  2361   +    2563174    2564028     855 nativebac  0 3 native
  2362   -    2564029    2564253     225 nativebacarc  0 3 native
  2363   -    2564292    2565002     711 nativebacarc  0 3 native
  2364   +    2565387    2566550    1164 nativebacarc  0 3 native
  2365   +    2566772    2567410     639 nativebacarc  0 3 atypical
  2366   +    2567477    2568406     930 nativebacarc  0 3 native
  2367   +    2568438    2568890     453 nativebac  0 3 native
  2368   +    2568986    2570053    1068 nativebacarc  0 3 native
  2369   -    2570059    2572002    1944 nativebacarc  0 3 native
  2370   -    2572076    2572894     819 nativebacarc  0 3 native
  2371   +    2573015    2573707     693 nativebacarc  0 3 native
  2372   +    2573813    2574055     243 nativebacarc  0 3 native
  2373   -    2574096    2575019     924 nativebacarc  0 3 native
  2374   -    2575016    2575225     210 nativebac  0 3 native
  2375   +    2575809    2577098    1290 nativebacarc  0 3 native
  2376   +    2577488    2577922     435 nativebac  0 3 native
  2377   -    2577851    2578696     846 nativebacarc  0 3 native
  2378   -    2579228    2579419     192 bac  0 3 atypical
  2379   +    2580431    2581135     705 nativebacarc  0 3 native
  2380   +    2581145    2581477     333 native  0 3 native
  2381   -    2581843    2582298     456 nativebacarc  0 3 atypical
  2382   -    2582477    2582644     168 native  0 3 native
  2383   +    2583435    2583779     345 nativebacarc  0 3 atypical
  2384   +    2583812    2584408     597 nativebacarc  0 3 native
  2385   +    2584486    2584755     270 nativebacarc  0 3 atypical
  2386   -    2585052    2585864     813 nativebacarc  0 3 native
  2387   -    2585917    2587290    1374 nativebacarc  0 3 native
  2388   -    2587287    2588804    1518 nativebacarc  0 3 native
  2389   +    2588838    2589710     873 nativebacarc  0 3 native
  2390   +    2589697    2590521     825 nativebacarc  0 3 native
  2391   +    2590518    2591840    1323 nativebacarc  0 3 native
  2392   -    2591848    2592726     879 nativebacarc  0 3 native
  2393   -    2592723    2594138    1416 nativebacarc  0 3 native
  2394   -    2594154    2594699     546 nativebacarc  0 3 native
  2395   -    2594699    2595364     666 nativebacarc  0 3 native
  2396   -    2595361    2596134     774 nativebacarc  0 3 native
  2397   +    2596334    2596780     447 nativebacarc  0 3 atypical
  2398   -    2597009    2597857     849 nativebacarc  0 3 native
  2399   -    2597854    2599842    1989 nativebacarc  0 3 native
  2400   +    2599988    2600479     492 nativebac  0 3 native
  2401   +    2600731    2601879    1149 nativebacarc  0 3 native
  2402   -    2601914    2603461    1548 nativebacarc  0 3 native
  2403   -    2603695    2604222     528 nativebac  0 3 native
  2404   +    2604330    2604683     354 nativebac  0 3 native
  2405   +    2604950    2605078     129 nativebac  0 3 atypical
  2406   +    2605108    2606754    1647 nativebacarc  0 3 native
  2407   -    2606708    2608321    1614 nativebacarc  0 3 native
  2408   +    2608796    2609728     933 nativebacarc  0 3 native
  2409   +    2609732    2610421     690 nativebacarc  0 3 native
  2410   +    2610807    2611805     999 nativebacarc  0 3 atypical
  2411   -    2611869    2612960    1092 nativebac  0 3 atypical
  2412   -    2613107    2614144    1038 bacarc  0 3 atypical
  2413   +    2614693    2617581    2889 nativebacarc  0 3 atypical
  2414   -    2617667    2618908    1242 nativebac  0 3 native
  2415   +    2619582    2620016     435 nativebac  0 3 native
  2416   +    2620236    2620529     294 nativebac  0 3 native
  2417   -    2620533    2622452    1920 nativebacarc  0 3 native
  2418   -    2622457    2623752    1296 nativebacarc  0 3 native
  2419   +    2623821    2625803    1983 nativebacarc  0 3 native
  2420   -    2625888    2626172     285 nativebacarc  0 3 native
  2421   -    2626223    2626504     282 nativebacarc  0 3 native
  2422   -    2626654    2626941     288 native  0 3 native
  2423   -    2627172    2628722    1551 nativebacarc  0 3 native
  2424   -    2628781    2630319    1539 nativebacarc  0 3 native
  2425   -    2630537    2632018    1482 nativebacarc  0 3 native
  2426   +    2632619    2632792     174 nativebac  0 3 native
  2427   -    2632923    2634098    1176 nativebac  0 3 native
  2428   -    2634528    2635592    1065 nativebacarc  0 3 native
  2429   +    2635628    2635954     327 nativebac  0 3 native
  2430   +    2636005    2636889     885 nativebacarc  0 3 native
  2431   -    2637688    2639532    1845 nativebacarc  0 3 native
  2432   -    2639673    2641127    1455 nativebacarc  0 3 native
  2433   +    2641246    2641653     408 nativebac  0 3 native
  2434   +    2641650    2642042     393 nativebacarc  0 3 native
  2435   -    2642150    2642578     429 nativebacarc  0 3 native
  2436   -    2642578    2643468     891 nativebacarc  0 3 native
  2437   -    2643461    2644258     798 nativebacarc  0 3 native
  2438   +    2644320    2645774    1455 nativebacarc  0 3 native
  2439   -    2645771    2646700     930 nativebacarc  0 3 native
  2440   -    2646747    2647088     342 nativebacarc  0 3 native
  2441   -    2647060    2648367    1308 nativebacarc  0 3 native
  2442   -    2648364    2648897     534 nativebacarc  0 3 native
  2443   -    2648916    2649974    1059 nativebacarc  0 3 native
  2444   -    2650245    2651558    1314 nativebacarc  0 3 native
  2445   +    2651753    2651938     186 nativebacarc  0 3 native
  2446   -    2652037    2652825     789 nativebacarc  0 3 native
  2447   -    2652839    2653987    1149 nativebacarc  0 3 native
  2448   -    2654062    2655093    1032 nativebacarc  0 3 native
  2449   +    2655265    2655582     318 nativebacarc  0 3 native
  2450   -    2655609    2656007     399 nativebacarc  0 3 atypical
  2451   +    2656033    2656200     168 bac  0 3 atypical
  2452   -    2656215    2656430     216 nativebacarc  0 3 native
  2453   -    2656408    2657703    1296 nativebacarc  0 3 native
  2454   -    2657700    2662085    4386 nativebacarc  0 3 native
  2455   -    2662067    2667262    5196 nativebacarc  0 3 native
  2456   -    2667255    2670269    3015 nativebacarc  0 3 native
  2457   -    2670269    2671603    1335 nativebacarc  0 3 native
  2458   -    2671593    2675837    4245 nativebacarc  0 3 native
  2459   +    2675936    2677633    1698 nativebacarc  0 3 native
  2460   +    2677666    2678649     984 nativebacarc  0 3 native
  2461   -    2678653    2680005    1353 nativebacarc  0 3 native
  2462   +    2680458    2680667     210 nativearc  0 3 native
  2463   +    2680765    2682018    1254 nativebacarc  0 3 native
  2464   -    2682015    2683187    1173 nativebacarc  0 3 native
  2465   -    2683248    2683640     393 nativebac  0 3 native
  2466   -    2683709    2684107     399 nativebacarc  0 3 native
  2467   +    2684703    2686370    1668 nativebacarc  0 3 native
  2468   +    2686367    2687131     765 nativebacarc  0 3 native
  2469   +    2687110    2687973     864 nativebacarc  0 3 native
  2470   +    2688010    2689941    1932 nativebacarc  0 3 native
  2471   +    2690072    2692075    2004 nativebacarc  0 3 native
  2472   +    2692230    2692439     210 native  0 3 native
  2473   +    2692799    2693884    1086 nativebacarc  0 3 native
  2474   -    2693909    2694964    1056 nativebacarc  0 3 native
  2475   -    2694981    2695799     819 nativebacarc  0 3 native
  2476   -    2695796    2696557     762 nativebacarc  0 3 native
  2477   -    2696644    2697714    1071 nativebacarc  0 3 native
  2478   -    2698042    2698236     195 nativebac  0 3 atypical
  2479   +    2698529    2700457    1929 nativebacarc  0 3 native
  2480   -    2700535    2701173     639 nativebacarc  0 3 native
  2481   -    2701287    2703257    1971 nativebacarc  0 3 native
  2482   +    2703236    2703838     603 nativebacarc  0 3 native
  2483   -    2704009    2704437     429 nativebacarc  0 3 atypical
  2484   +    2704697    2705518     822 nativebacarc  0 3 native
  2485   -    2706494    2707333     840 nativebacarc  0 3 native
  2486   -    2707333    2708310     978 nativebacarc  0 3 native
  2487   -    2708310    2709965    1656 nativebacarc  0 3 native
  2488   +    2710075    2710335     261 nativebacarc  0 3 atypical
  2489   -    2710351    2711319     969 nativebacarc  0 3 native
  2490   -    2711332    2712876    1545 nativebacarc  0 3 native
  2491   -    2712891    2713784     894 nativebacarc  0 3 native
  2492   -    2714124    2715332    1209 nativebacarc  0 3 native
  2493   -    2715472    2716314     843 nativebacarc  0 3 native
  2494   -    2716395    2717105     711 nativebacarc  0 3 atypical
  2495   -    2717128    2717799     672 nativebac  0 3 native
  2496   -    2717796    2718176     381 nativebacarc  0 3 native
  2497   -    2718173    2718808     636 nativebacarc  0 3 native
  2498   +    2719083    2719355     273 nativebac  0 3 native
  2499   +    2719606    2720643    1038 nativebacarc  0 3 native
  2500   -    2720776    2721729     954 nativebacarc  0 3 native
  2501   -    2721866    2723245    1380 nativebacarc  0 3 native
  2502   -    2723308    2724183     876 nativebacarc  0 3 native
  2503   -    2724230    2725477    1248 nativebacarc  0 3 native
  2504   -    2725595    2725861     267 native  0 3 native
  2505   +    2726193    2726780     588 nativebacarc  0 3 native
  2506   +    2726806    2727339     534 nativebacarc  0 3 atypical
  2507   -    2727336    2727920     585 nativebacarc  0 3 native
  2508   -    2727967    2728266     300 nativebacarc  0 3 native
  2509   -    2728844    2729134     291 nativebac  0 3 native
  2510   -    2729115    2730560    1446 nativebacarc  0 3 native
  2511   -    2730557    2732749    2193 nativebacarc  0 3 native
  2512   +    2733299    2734144     846 nativebacarc  0 3 native
  2513   +    2734358    2734795     438 nativebacarc  0 3 native
  2514   -    2734792    2737008    2217 nativebacarc  0 3 native
  2515   -    2737117    2738199    1083 nativebacarc  0 3 native
  2516   -    2738247    2739701    1455 nativebacarc  0 3 native
  2517   -    2739772    2740032     261 nativebacarc  0 3 native
  2518   -    2740047    2740391     345 nativebacarc  0 3 native
  2519   +    2740709    2742184    1476 nativebacarc  0 3 native
  2520   -    2742123    2744870    2748 nativebacarc  0 3 native
  2521   -    2745314    2745724     411 nativebacarc  0 3 native
  2522   -    2745767    2746138     372 nativebacarc  0 3 native
  2523   -    2746135    2747598    1464 nativebacarc  0 3 native
  2524   -    2747595    2750255    2661 nativebacarc  0 3 native
  2525   -    2750313    2751572    1260 nativebacarc  0 3 native
  2526   -    2751662    2752180     519 nativebacarc  0 3 native
  2527   -    2753018    2753554     537 nativebacarc  0 3 native
  2528   -    2753625    2754746    1122 nativebacarc  0 3 native
  2529   -    2754743    2756719    1977 nativebacarc  0 3 native
  2530   -    2756936    2758192    1257 nativebacarc  0 3 native
  2531   -    2758208    2759488    1281 nativebacarc  0 3 native
  2532   +    2759779    2760687     909 nativebacarc  0 3 native
  2533   +    2760764    2762380    1617 nativebacarc  0 3 native
  2534   -    2762531    2763175     645 nativebacarc  0 3 native
  2535   -    2763172    2763756     585 nativebacarc  0 3 native
  2536   -    2763891    2765291    1401 nativebacarc  0 3 native
  2537   +    2765655    2766839    1185 nativebacarc  0 3 native
  2538   -    2766859    2767665     807 nativebacarc  0 3 native
  2539   -    2767671    2768159     489 nativebacarc  0 3 native
  2540   -    2768261    2768884     624 nativebacarc  0 3 native
  2541   +    2768986    2771571    2586 nativebacarc  0 3 native
  2542   -    2771644    2772111     468 nativebacarc  0 3 native
  2543   -    2772098    2772340     243 native  0 3 native
  2544   -    2772367    2772867     501 nativebacarc  0 3 native
  2545   +    2773160    2773564     405 nativebacarc  0 3 native
  2546   +    2773642    2775204    1563 nativebacarc  0 3 native
  2547   +    2775856    2776284     429 nativebac  0 3 native
  2548   -    2776316    2776990     675 nativebacarc  0 3 native
  2549   -    2776975    2777391     417 nativebacarc  0 3 native
  2550   -    2777388    2782262    4875 nativebacarc  0 3 native
  2551   -    2782366    2784042    1677 nativebacarc  0 3 native
  2552   -    2784123    2784608     486 nativebacarc  0 3 native
  2553   -    2784657    2785541     885 nativebacarc  0 3 native
  2554   -    2785592    2785918     327 nativebac  0 3 native
  2555   -    2786914    2789283    2370 nativebacarc  0 3 native
  2556   -    2789280    2791022    1743 nativebacarc  0 3 native
  2557   -    2791019    2792494    1476 nativebacarc  0 3 native
  2558   -    2792723    2793988    1266 nativebacarc  0 3 native
  2559   +    2794350    2795120     771 nativebacarc  0 3 native
  2560   -    2795301    2797385    2085 nativebacarc  0 3 native
  2561   -    2797467    2800796    3330 nativebacarc  0 3 native
  2562   -    2801254    2806236    4983 nativebac  0 3 native
  2563   -    2806323    2806529     207 nativebac  0 3 native
  2564   +    2806665    2807288     624 nativebacarc  0 3 atypical
  2565   +    2807269    2808030     762 nativebacarc  0 3 atypical
  2566   +    2808083    2808304     222 nativebac  0 3 native
  2567   +    2808310    2808735     426 nativebacarc  0 3 native
  2568   -    2808758    2809939    1182 nativebacarc  0 3 native
  2569   -    2809936    2810982    1047 nativebacarc  0 3 native
  2570   -    2810993    2812060    1068 nativebacarc  0 3 native
  2571   -    2812355    2813176     822 nativebacarc  0 3 native
  2572   -    2813173    2813634     462 nativebacarc  0 3 native
  2573   -    2813727    2814911    1185 nativebacarc  0 3 native
  2574   -    2814916    2816880    1965 nativebacarc  0 3 native
  2575   -    2816885    2818474    1590 nativebacarc  0 3 native
  2576   -    2818471    2819127     657 nativebacarc  0 3 native
  2577   -    2819124    2819870     747 nativebacarc  0 3 native
  2578   -    2819953    2821530    1578 nativebacarc  0 3 native
  2579   +    2821712    2822359     648 nativebacarc  0 3 native
  2580   +    2822768    2823259     492 nativebac  0 3 native
  2581   -    2823256    2824593    1338 nativebacarc  0 3 native
  2582   +    2824678    2825484     807 nativebacarc  0 3 native
  2583   -    2825488    2827089    1602 nativebacarc  0 3 native
  2584   +    2827157    2827804     648 nativebacarc  0 3 native
  2585   -    2828556    2829803    1248 nativebacarc  0 3 native
  2586   +    2830161    2830583     423 nativebacarc  0 3 native
  2587   -    2830877    2831338     462 nativebacarc  0 3 atypical
  2588   -    2831344    2832543    1200 nativebacarc  0 3 native
  2589   -    2832710    2833513     804 nativebacarc  0 3 native
  2590   -    2833510    2833761     252 nativebac  0 3 atypical
  2591   -    2834109    2835266    1158 nativebacarc  0 3 native
  2592   +    2835785    2837263    1479 nativebacarc  0 3 native
  2593   -    2837388    2837615     228 nativebacarc  0 3 atypical
  2594   +    2837684    2838157     474 nativebacarc  0 3 native
  2595   -    2838129    2839451    1323 nativebacarc  0 3 native
  2596   -    2839538    2839930     393 nativebacarc  0 3 native
  2597   -    2840123    2849332    9210 nativebacarc  0 3 native
  2598   -    2849852    2850574     723 nativebacarc  0 3 native
  2599   +    2851091    2851318     228 nativebacarc  0 3 native
  2600   +    2851315    2851716     402 nativebac  0 3 native
  2601   -    2851751    2852671     921 nativebacarc  0 3 native
  2602   +    2853316    2854266     951 nativebacarc  0 3 atypical
  2603   -    2854267    2854686     420 nativebac  0 3 native
  2604   -    2854683    2854907     225 bac  0 3 atypical
  2605   -    2854938    2857781    2844 nativebacarc  0 3 native
  2606   -    2857853    2858254     402 nativebacarc  0 3 native
  2607   -    2858254    2858724     471 nativebacarc  0 3 native
  2608   -    2858727    2859290     564 nativebacarc  0 3 native
  2609   -    2859300    2860418    1119 nativebacarc  0 3 native
  2610   +    2860452    2861144     693 nativebacarc  0 3 native
  2611   -    2861148    2861591     444 nativebacarc  0 3 native
  2612   -    2861588    2862676    1089 nativebacarc  0 3 native
  2613   -    2862673    2863203     531 nativebacarc  0 3 native
  2614   -    2863207    2864445    1239 nativebacarc  0 3 native
  2615   +    2864520    2864834     315 nativebac  0 3 native
  2616   +    2865130    2866341    1212 nativebacarc  0 3 native
  2617   +    2866531    2867127     597 nativebacarc  0 3 native
  2618   +    2867187    2867786     600 nativebacarc  0 3 native
  2619   +    2867942    2868061     120 native  0 3 native
  2620   +    2868154    2868567     414 nativebacarc  0 3 native
  2621   +    2868606    2868863     258 nativebac  0 3 native
